face_uuid,match_file,match_score,model,distance_metric,number_of_hits
09d7c02d-35c8-4994-89bb-a2429d1b0941,b95e4651-bf56-4f12-8d9c-4defe1aef9b0.png,0.41458738922293964,Facenet512,euclidean_l2,38
04414e89-58d6-4ae6-9845-30fc0ef46323,cc6b3530-cd71-4500-a5fe-d868c449b8d1.png,0.653891380792454,Facenet512,euclidean_l2,40
44c5ea4f-0659-47bf-ba84-f56f475448b5,1f347af9-a36f-4727-923b-4c1a1e934ab9.png,0.9184651058993548,Facenet512,euclidean_l2,22
6ffffd48-9d3f-4876-bb80-2060982593d4,d0e6d963-6d02-463b-a226-ce3f34b0fcc5.png,0.9301042530689014,Facenet512,euclidean_l2,10
c176fd12-97ea-4b67-895d-ed622a888a70,1e103923-022b-4d3f-a32e-e9c848a00e70.png,0.7020739215045187,Facenet512,euclidean_l2,40
d61d4d76-82b0-4b64-9fbf-c47d8e7a6337,c1a12a4c-30ca-47ec-b1c5-11409ded5262.png,0.4867576659488765,Facenet512,euclidean_l2,40
bf5db638-11b7-4278-bc8a-30fd449fe611,544c4dd7-ae0f-4d1e-825f-3d9e1eca7fd3.png,0.6545612760798065,Facenet512,euclidean_l2,38
e28e978d-4726-41d4-959a-dff7cca8fc05,d0e6d963-6d02-463b-a226-ce3f34b0fcc5.png,0.6417657031540224,Facenet512,euclidean_l2,34
3ca82414-3df9-4ac0-bbf3-f231892e6cec,1f347af9-a36f-4727-923b-4c1a1e934ab9.png,0.9174001010197576,Facenet512,euclidean_l2,24
a3d87b8a-e427-4091-ac47-587e49bccf54,c0c7aedd-97dc-4394-8336-f812c19fc1a2.png,0.6357058203423439,Facenet512,euclidean_l2,28
ba7c04a9-eadb-40b0-9f57-90469eabba25,c1a12a4c-30ca-47ec-b1c5-11409ded5262.png,0.8578974927190218,Facenet512,euclidean_l2,36
f14aa368-73b5-45b6-bcaa-62b4b0f139cb,cc6b3530-cd71-4500-a5fe-d868c449b8d1.png,0.8357860940721279,Facenet512,euclidean_l2,36
82532fe4-ff1e-493f-bc95-15ddaf95286a,cc6b3530-cd71-4500-a5fe-d868c449b8d1.png,0.6398493907214496,Facenet512,euclidean_l2,40
209b6853-711f-4446-9802-ebafad1b1eb1,cc6b3530-cd71-4500-a5fe-d868c449b8d1.png,0.9430278419429178,Facenet512,euclidean_l2,10
474efd6e-05d1-48b0-8dc5-90942527481b,6b5fba44-8fb8-4e07-98e3-960e82e765a9.png,1.0255910091912608,Facenet512,euclidean_l2,6
8c6976d8-fef1-47da-bdd4-849fd295a738,cc6b3530-cd71-4500-a5fe-d868c449b8d1.png,1.0110575030905231,Facenet512,euclidean_l2,4
c2081500-276d-4310-b4c1-4139009b0147,d0e6d963-6d02-463b-a226-ce3f34b0fcc5.png,0.5475777873141172,Facenet512,euclidean_l2,40
f0c8f1ec-1a01-4f6e-a5ea-914ca91b3807,5efa5b53-ada6-486e-8b66-4c6330a71ea7.png,0.73718134209523,Facenet512,euclidean_l2,36
91b5f1fd-18e7-4977-8617-7bf60383fe9e,1bd44b42-05b1-4e5e-9ecf-b19872c3a776.png,0.9769028834775818,Facenet512,euclidean_l2,2
62fcf14d-99e8-4d67-85b9-9da646b58d05,d0e6d963-6d02-463b-a226-ce3f34b0fcc5.png,0.5264543575243593,Facenet512,euclidean_l2,40
da9083b7-7675-4a33-a9d8-573a5d7c7667,80b6f539-47d0-408e-8a0b-aadcffe513a5.png,0.5141995893374322,Facenet512,euclidean_l2,40
f2b4e480-786a-4f4f-a137-ac81ac1b3eee,b95e4651-bf56-4f12-8d9c-4defe1aef9b0.png,0.5810312478679357,Facenet512,euclidean_l2,40
4dd65dcb-b72f-43f7-be2e-8f59290b7e1a,5efa5b53-ada6-486e-8b66-4c6330a71ea7.png,0.6241876945249811,Facenet512,euclidean_l2,40
310e0ca3-b5a3-4d48-b7ed-cebb620f2975,872af970-553e-4d30-abdc-252f937b8d70.png,1.028272130268744,Facenet512,euclidean_l2,2
61d4addb-01f0-4744-9670-1ad12be5e31b,c0c7aedd-97dc-4394-8336-f812c19fc1a2.png,0.6868313964570278,Facenet512,euclidean_l2,40
afb0d2b6-2deb-4d43-8375-a50f829d093e,1f347af9-a36f-4727-923b-4c1a1e934ab9.png,0.8059735665464685,Facenet512,euclidean_l2,34
bd45715b-87a8-4778-9971-c38ce9077b5c,6b5fba44-8fb8-4e07-98e3-960e82e765a9.png,1.0199918208283947,Facenet512,euclidean_l2,2
9dbc5ed7-e00a-472c-9bb9-509f87d88182,cc6b3530-cd71-4500-a5fe-d868c449b8d1.png,0.9816034790448164,Facenet512,euclidean_l2,10
23c15031-e929-4eea-bcbe-519719a35bb3,d0e6d963-6d02-463b-a226-ce3f34b0fcc5.png,0.751559501035279,Facenet512,euclidean_l2,40
ee54b5d7-0bf3-4db9-9577-312972c51172,7cdeee40-f222-4b03-a819-4db32fc47d20.png,0.640715745635762,Facenet512,euclidean_l2,40
962d5aae-7236-4118-968c-48e06f18d2d2,f891fb5e-737c-4bf0-9c55-824f2cdff348.png,0.9310741362461902,Facenet512,euclidean_l2,10
fb98f204-3c7f-49a6-8881-4564b75c8415,5efa5b53-ada6-486e-8b66-4c6330a71ea7.png,0.7275439773801594,Facenet512,euclidean_l2,18
a20fdbb5-8ba6-480c-8512-b4c5480c6b01,5efa5b53-ada6-486e-8b66-4c6330a71ea7.png,0.7263563245986645,Facenet512,euclidean_l2,40
b840e057-d254-4200-89a4-4e9b1c87db14,1f347af9-a36f-4727-923b-4c1a1e934ab9.png,0.6904515888035597,Facenet512,euclidean_l2,38
1e19601a-5fad-4f09-818c-76b0ca70294f,d0e6d963-6d02-463b-a226-ce3f34b0fcc5.png,0.5988121958136019,Facenet512,euclidean_l2,40
e4603358-510d-4fbf-b3f0-dd528ccdccec,5efa5b53-ada6-486e-8b66-4c6330a71ea7.png,0.5660817844635756,Facenet512,euclidean_l2,36
c9dc6737-674a-4569-8670-d04ac1aa9280,b95e4651-bf56-4f12-8d9c-4defe1aef9b0.png,0.31910263094822733,Facenet512,euclidean_l2,40
ea291910-9890-4650-8ce6-5c41094b437b,6eea9eca-17f8-4cce-b3dd-7cf5cb345415.png,1.024362193266937,Facenet512,euclidean_l2,2
