image,type,bucket_url,face_uuid,retina_face_score,facial_area,right_eye,left_eye,nose,mouth_right,mouth_left,image_width,image_height,f_pixel_x,f_pixel_y,f_pixel_width,f_pixel_height,f_relativ_x,f_relativ_y,f_relativ_width,f_relativ_height
images/armin_laschet/2021-09-16_13-50-14_UTC_2.jpg,Post,armin_laschet/2021-09-16_13-50-14_UTC_2.jpg,5f48ec77-9997-4a66-ab96-cf9ed9bb9513,0.9979422688484192,"[1273, 478, 1289, 498]","[1278.1895, 487.13257]","[1285.1268, 486.94547]","[1281.9409, 490.6622]","[1278.9603, 493.9925]","[1284.7334, 493.8832]",1440,960,1273,478,16,20,88.40277777777777,49.791666666666664,1.1111111111111112,2.083333333333333
images/armin_laschet/2021-09-16_13-50-14_UTC_2.jpg,Post,armin_laschet/2021-09-16_13-50-14_UTC_2.jpg,87006c56-2e53-4e5c-ab16-a5967e3686e1,0.9972459077835084,"[96, 554, 122, 583]","[111.148384, 566.016]","[117.894196, 564.9961]","[120.27882, 568.59436]","[115.211716, 575.52185]","[119.817635, 574.9992]",1440,960,96,554,26,29,6.666666666666667,57.70833333333333,1.8055555555555551,3.0208333333333335
images/armin_laschet/2021-09-16_13-50-14_UTC_2.jpg,Post,armin_laschet/2021-09-16_13-50-14_UTC_2.jpg,c3899a31-31ba-4a69-97f3-2862b7502d0b,0.9969931840896606,"[368, 515, 381, 532]","[375.40042, 522.0146]","[379.63644, 521.346]","[379.24982, 524.8047]","[376.49863, 528.3555]","[379.76477, 528.0243]",1440,960,368,515,13,17,25.555555555555554,53.645833333333336,0.9027777777777776,1.7708333333333333
images/armin_laschet/2021-09-16_13-50-14_UTC_2.jpg,Post,armin_laschet/2021-09-16_13-50-14_UTC_2.jpg,46570829-ff36-4726-9072-5d59026975d6,0.9954127669334412,"[150, 667, 196, 726]","[180.83188, 693.14014]","[189.30154, 691.6387]","[195.28833, 700.90076]","[183.54813, 712.49805]","[189.29694, 712.2657]",1440,960,150,667,46,59,10.416666666666668,69.47916666666667,3.194444444444444,6.145833333333333
images/armin_laschet/2021-09-16_13-50-14_UTC_2.jpg,Post,armin_laschet/2021-09-16_13-50-14_UTC_2.jpg,29020d11-51d9-4b07-b3cb-a44a5c2d0606,0.9939810633659364,"[1066, 458, 1077, 471]","[1069.6718, 463.49033]","[1074.4681, 463.46622]","[1072.07, 466.0736]","[1070.1696, 468.69214]","[1074.1234, 468.64575]",1440,960,1066,458,11,13,74.02777777777779,47.708333333333336,0.7638888888888888,1.3541666666666667
images/armin_laschet/2021-09-16_13-50-14_UTC_2.jpg,Post,armin_laschet/2021-09-16_13-50-14_UTC_2.jpg,9b34fa25-4a85-4968-9873-00807795a68a,0.9911921620368958,"[180, 517, 200, 542]","[191.67683, 528.1113]","[196.55646, 525.6008]","[199.46461, 530.5845]","[196.36626, 536.69666]","[199.59499, 535.17926]",1440,960,180,517,20,25,12.5,53.85416666666667,1.3888888888888888,2.604166666666667
images/armin_laschet/2021-09-16_13-50-14_UTC_2.jpg,Post,armin_laschet/2021-09-16_13-50-14_UTC_2.jpg,9ce1fd62-2f92-4168-a9b8-0ebfdad06a80,0.9873008728027344,"[256, 586, 282, 616]","[271.5747, 597.5624]","[276.89078, 594.90924]","[281.0187, 600.8217]","[277.1064, 608.7775]","[280.27322, 607.1434]",1440,960,256,586,26,30,17.77777777777778,61.04166666666667,1.8055555555555551,3.125
images/armin_laschet/2021-09-16_13-50-14_UTC_2.jpg,Post,armin_laschet/2021-09-16_13-50-14_UTC_2.jpg,5b63e06c-a1c2-497e-921a-045b6d01c317,0.9827952980995178,"[525, 635, 555, 685]","[549.1662, 653.66943]","[550.0151, 653.26306]","[555.44135, 663.68195]","[548.59314, 673.0375]","[549.02826, 673.23364]",1440,960,525,635,30,50,36.45833333333333,66.14583333333334,2.083333333333333,5.208333333333334
images/armin_laschet/2021-09-16_13-50-14_UTC_2.jpg,Post,armin_laschet/2021-09-16_13-50-14_UTC_2.jpg,d05383cf-f531-44c8-9f86-046af7de988d,0.9775463938713074,"[237, 507, 252, 526]","[244.64592, 515.1603]","[250.12134, 514.6212]","[249.01619, 518.37427]","[245.66588, 522.03973]","[249.99715, 521.8052]",1440,960,237,507,15,19,16.458333333333332,52.81249999999999,1.0416666666666663,1.9791666666666663
images/armin_laschet/2021-09-16_13-50-14_UTC_2.jpg,Post,armin_laschet/2021-09-16_13-50-14_UTC_2.jpg,a480c88a-4359-4a44-99b5-89a23a846e27,0.9654408097267152,"[1179, 464, 1193, 481]","[1182.4216, 471.58057]","[1187.2708, 471.5151]","[1183.9785, 474.95844]","[1183.5278, 477.98752]","[1187.0988, 477.79874]",1440,960,1179,464,14,17,81.875,48.333333333333336,0.9722222222222222,1.7708333333333333
images/armin_laschet/2021-09-16_13-50-14_UTC_2.jpg,Post,armin_laschet/2021-09-16_13-50-14_UTC_2.jpg,b9d97946-70a2-4a7b-8844-17beeb7350fc,0.9573311805725098,"[548, 510, 566, 536]","[560.2447, 521.37537]","[562.6031, 520.25507]","[565.4981, 525.44147]","[561.427, 530.3057]","[562.95056, 529.91876]",1440,960,548,510,18,26,38.05555555555556,53.125,1.25,2.7083333333333335
images/armin_laschet/2021-09-16_13-50-14_UTC_2.jpg,Post,armin_laschet/2021-09-16_13-50-14_UTC_2.jpg,0cd219fe-0f79-4431-b7b3-adb2a895a6e4,0.9307184219360352,"[473, 458, 483, 470]","[476.03812, 463.28842]","[480.52194, 463.0261]","[478.52423, 465.60944]","[476.8346, 467.9245]","[480.33936, 467.72272]",1440,960,473,458,10,12,32.84722222222222,47.708333333333336,0.6944444444444444,1.25
images/armin_laschet/2021-09-21_05-10-21_UTC_2.jpg,Post,armin_laschet/2021-09-21_05-10-21_UTC_2.jpg,ba69017f-3f42-4512-9cad-7adcc7f9e4bc,0.9998112320899964,"[357, 239, 580, 594]","[501.9076, 378.12524]","[557.3711, 384.80963]","[571.5568, 441.1039]","[486.67926, 493.27417]","[538.37244, 502.09]",1440,945,357,239,223,355,24.791666666666668,25.29100529100529,15.48611111111111,37.56613756613756
images/armin_laschet/2021-09-21_05-10-21_UTC_2.jpg,Post,armin_laschet/2021-09-21_05-10-21_UTC_2.jpg,2e7dc2ea-8b1b-4bd1-8d04-a021bc15e1c3,0.9996920824050904,"[882, 168, 1082, 486]","[1015.9177, 285.16888]","[1059.7432, 283.07886]","[1079.8829, 338.96664]","[1008.12354, 393.3538]","[1049.5416, 395.24295]",1440,945,882,168,200,318,61.25000000000001,17.77777777777778,13.88888888888889,33.65079365079365
